year,official_state_count,entities_in_panel_count,fifa_confederation_mapped_entities_count,official_state_count_AFC,official_state_count_CAF,official_state_count_CONCACAF,official_state_count_CONMEBOL,official_state_count_OFC,official_state_count_UEFA,official_state_count_Unknown,definition,primary_source
1966,137,194,187,34,39,17,10,2,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1967,138,195,188,35,39,17,10,2,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1968,142,199,192,35,42,17,10,3,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1969,142,199,192,35,42,17,10,3,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1970,144,201,194,35,42,17,10,5,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1971,148,205,198,39,42,17,10,5,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1972,148,205,198,39,42,17,10,5,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1973,149,206,199,39,42,18,10,5,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1974,150,207,200,39,43,18,10,5,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1975,157,214,207,39,48,19,10,6,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1976,158,215,208,39,49,19,10,6,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1977,158,215,208,38,50,19,10,6,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1978,161,218,211,38,50,20,10,8,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1979,164,221,214,38,50,22,10,9,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1980,166,223,216,38,51,22,10,10,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1981,168,225,218,38,51,24,10,10,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1982,168,225,218,38,51,24,10,10,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1983,169,226,219,38,51,25,10,10,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1984,170,227,220,39,51,25,10,10,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1985,170,227,220,39,51,25,10,10,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1986,172,229,222,39,51,25,10,12,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1987,172,229,222,39,51,25,10,12,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1988,173,230,223,40,51,25,10,12,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1989,173,230,223,40,51,25,10,12,34,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1990,176,233,226,41,52,25,10,12,35,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1991,190,247,240,43,52,25,10,12,47,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1992,191,248,241,43,52,25,10,12,48,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1993,192,249,242,43,53,25,10,12,48,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1994,193,250,243,43,53,25,10,13,48,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1995,193,250,243,43,53,25,10,13,48,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1996,193,250,243,43,53,25,10,13,48,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1997,193,250,243,43,53,25,10,13,48,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1998,193,250,243,43,53,25,10,13,48,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
1999,193,250,243,43,53,25,10,13,48,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2000,193,250,243,43,53,25,10,13,48,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2001,193,250,243,43,53,25,10,13,48,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2002,194,251,244,44,53,25,10,13,48,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2003,194,251,244,44,53,25,10,13,48,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2004,194,251,244,44,53,25,10,13,48,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2005,194,251,244,44,53,25,10,13,48,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2006,196,253,246,44,53,25,10,13,50,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2007,195,252,245,44,53,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2008,195,252,245,44,53,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2009,195,252,245,44,53,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2010,195,252,245,44,53,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2011,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2012,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2013,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2014,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2015,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2016,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2017,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2018,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2019,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2020,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2021,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2022,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2023,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2024,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2025,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
2026,196,253,246,44,54,25,10,13,49,1,"official_state_count counts sovereign_state, UN observer/de facto states, and manually added historic_state rows; excludes dependent territories and constituent football entities.","Correlates of War Project. 2025. State System Membership, v2024. https://correlatesofwar.org/data-sets/state-system-membership/"
